,index,athlete,sport,log_prob_one_shot,num_athlete_tokens,sport_index,sport_token,prompt,zero_shot_prompt,clp
392,1461,Dee Ford,football,-0.4122816,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Dee Ford plays the sport of",Fact: Dee Ford plays the sport of,-0.390625
394,1854,Nick Bosa,football,-0.08397989,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Bosa plays the sport of",Fact: Nick Bosa plays the sport of,-0.265625
395,14637,Jeff Bagwell,baseball,-0.11191229,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Jeff Bagwell plays the sport of",Fact: Jeff Bagwell plays the sport of,-0.384765625
396,56,Jon Gruden,football,-0.1790802,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jon Gruden plays the sport of",Fact: Jon Gruden plays the sport of,-1.5546875
401,15337,Brad Ausmus,baseball,-0.17800047,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Brad Ausmus plays the sport of",Fact: Brad Ausmus plays the sport of,-0.51953125
402,104,Emmitt Smith,football,-0.123403005,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Emmitt Smith plays the sport of",Fact: Emmitt Smith plays the sport of,-1.28125
404,544,Christian Ponder,football,-0.5151783,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Christian Ponder plays the sport of",Fact: Christian Ponder plays the sport of,-0.451171875
406,558,Josh Sitton,football,-0.19629431,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Sitton plays the sport of",Fact: Josh Sitton plays the sport of,-1.2734375
408,7632,Lou Williams,basketball,-0.21423723,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Lou Williams plays the sport of",Fact: Lou Williams plays the sport of,-0.345703125
414,1342,Jordan Reed,football,-0.1934173,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jordan Reed plays the sport of",Fact: Jordan Reed plays the sport of,-0.75390625
415,14997,Anthony Gose,baseball,-0.31737536,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Anthony Gose plays the sport of",Fact: Anthony Gose plays the sport of,-0.53125
417,374,Johnny Manziel,football,-0.101496525,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Johnny Manziel plays the sport of",Fact: Johnny Manziel plays the sport of,-0.48046875
420,229,Wes Welker,football,-0.100032404,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Wes Welker plays the sport of",Fact: Wes Welker plays the sport of,-0.8046875
423,14413,Dave Winfield,baseball,-0.31180915,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Dave Winfield plays the sport of",Fact: Dave Winfield plays the sport of,-0.55859375
427,1397,Giovani Bernard,football,-0.39537293,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Giovani Bernard plays the sport of",Fact: Giovani Bernard plays the sport of,-0.9765625
428,14130,David Ortiz,baseball,-0.04280999,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: David Ortiz plays the sport of",Fact: David Ortiz plays the sport of,-0.4453125
429,14856,David Wright,baseball,-0.13342525,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: David Wright plays the sport of",Fact: David Wright plays the sport of,-0.421875
432,16825,Josh Hader,baseball,-0.13985096,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Hader plays the sport of",Fact: Josh Hader plays the sport of,-0.171875
437,15640,Justin Upton,baseball,-0.03680917,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Justin Upton plays the sport of",Fact: Justin Upton plays the sport of,-0.265625
439,1022,Brandon Marshall,football,-0.41799292,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Brandon Marshall plays the sport of",Fact: Brandon Marshall plays the sport of,-0.390625
441,14638,Cody Ross,baseball,-0.35638118,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Cody Ross plays the sport of",Fact: Cody Ross plays the sport of,-0.50390625
442,14715,Scott Kazmir,baseball,-0.14029077,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Scott Kazmir plays the sport of",Fact: Scott Kazmir plays the sport of,-0.63671875
443,974,Bobby Wagner,football,-0.09362294,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Bobby Wagner plays the sport of",Fact: Bobby Wagner plays the sport of,-0.71484375
452,656,Chip Kelly,football,-0.1433281,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Chip Kelly plays the sport of",Fact: Chip Kelly plays the sport of,-0.70703125
459,1361,Riley Cooper,football,-0.19521669,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Riley Cooper plays the sport of",Fact: Riley Cooper plays the sport of,-0.345703125
460,16257,José Hernández,baseball,-0.5398631,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: José Hernández plays the sport of",Fact: José Hernández plays the sport of,-1.6015625
466,1197,Antonio Brown,football,-0.043505084,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Antonio Brown plays the sport of",Fact: Antonio Brown plays the sport of,-0.294921875
467,1328,Cris Collinsworth,football,-0.48264468,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Cris Collinsworth plays the sport of",Fact: Cris Collinsworth plays the sport of,-1.046875
468,1066,Russell Okung,football,-0.08937344,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Russell Okung plays the sport of",Fact: Russell Okung plays the sport of,-0.87890625
471,5306,Kevin Garnett,basketball,-0.03441694,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Kevin Garnett plays the sport of",Fact: Kevin Garnett plays the sport of,-0.39453125
472,5342,Jason Kidd,basketball,-0.05202352,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jason Kidd plays the sport of",Fact: Jason Kidd plays the sport of,-0.2294921875
479,8076,Anthony Randolph,basketball,-0.30385128,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Anthony Randolph plays the sport of",Fact: Anthony Randolph plays the sport of,-0.435546875
480,279,Rod Woodson,football,-0.21773611,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Rod Woodson plays the sport of",Fact: Rod Woodson plays the sport of,-1.3203125
481,15488,Ron Gardenhire,baseball,-0.2667881,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Ron Gardenhire plays the sport of",Fact: Ron Gardenhire plays the sport of,-0.72265625
483,15864,Steve Sax,baseball,-0.3357912,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Steve Sax plays the sport of",Fact: Steve Sax plays the sport of,-0.9765625
485,12994,Jalen Jones,basketball,-0.4782493,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jalen Jones plays the sport of",Fact: Jalen Jones plays the sport of,-0.318359375
488,1444,Michael Sam,football,-0.07203367,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Sam plays the sport of",Fact: Michael Sam plays the sport of,-0.36328125
489,12687,Josh Richardson,basketball,-0.38210845,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Richardson plays the sport of",Fact: Josh Richardson plays the sport of,-0.3359375
492,1094,Mike Tolbert,football,-0.20313354,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Tolbert plays the sport of",Fact: Mike Tolbert plays the sport of,-0.71484375
493,787,Josh Norman,football,-0.12059897,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Norman plays the sport of",Fact: Josh Norman plays the sport of,-0.357421875
496,337,Mario Williams,football,-0.3030443,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mario Williams plays the sport of",Fact: Mario Williams plays the sport of,-0.390625
505,14781,Josh Beckett,baseball,-0.38614586,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Beckett plays the sport of",Fact: Josh Beckett plays the sport of,-0.87890625
506,438,Matt Kalil,football,-0.17075324,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Matt Kalil plays the sport of",Fact: Matt Kalil plays the sport of,-0.82421875
507,9249,Andre Ingram,basketball,-0.43071073,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Andre Ingram plays the sport of",Fact: Andre Ingram plays the sport of,-0.138671875
508,1771,Mason Rudolph,football,-0.2111815,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mason Rudolph plays the sport of",Fact: Mason Rudolph plays the sport of,-0.41015625
511,15027,Paul Molitor,baseball,-0.13434847,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Paul Molitor plays the sport of",Fact: Paul Molitor plays the sport of,-0.50390625
512,542,Nick Folk,football,-0.3799783,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Folk plays the sport of",Fact: Nick Folk plays the sport of,-1.0546875
513,364,Sam Bradford,football,-0.08489644,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Sam Bradford plays the sport of",Fact: Sam Bradford plays the sport of,-0.318359375
518,6228,Stephen Curry,basketball,-0.051877525,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Stephen Curry plays the sport of",Fact: Stephen Curry plays the sport of,-0.27734375
521,6236,Isaiah Thomas,basketball,-0.037052043,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Isaiah Thomas plays the sport of",Fact: Isaiah Thomas plays the sport of,-0.171875
524,779,Montee Ball,football,-0.48679698,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Montee Ball plays the sport of",Fact: Montee Ball plays the sport of,-0.5859375
525,795,Lawrence Taylor,football,-0.10534479,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Lawrence Taylor plays the sport of",Fact: Lawrence Taylor plays the sport of,-0.5546875
526,5297,David Robinson,basketball,-0.32506147,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: David Robinson plays the sport of",Fact: David Robinson plays the sport of,-0.6484375
528,340,Joe Haden,football,-0.24214578,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Joe Haden plays the sport of",Fact: Joe Haden plays the sport of,-0.357421875
530,13138,Jordan Bell,basketball,-0.23502877,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jordan Bell plays the sport of",Fact: Jordan Bell plays the sport of,-0.30078125
532,5325,John Stockton,basketball,-0.08167023,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: John Stockton plays the sport of",Fact: John Stockton plays the sport of,-0.2353515625
534,1739,Mike Gesicki,football,-0.22690187,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Gesicki plays the sport of",Fact: Mike Gesicki plays the sport of,-0.515625
535,5936,Marc Gasol,basketball,-0.054299757,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Marc Gasol plays the sport of",Fact: Marc Gasol plays the sport of,-0.369140625
537,405,Jeff Fisher,football,-0.52811015,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jeff Fisher plays the sport of",Fact: Jeff Fisher plays the sport of,-0.84375
540,14216,Chipper Jones,baseball,-0.057198655,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Chipper Jones plays the sport of",Fact: Chipper Jones plays the sport of,-0.3359375
541,502,Josh Freeman,football,-0.14054509,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Freeman plays the sport of",Fact: Josh Freeman plays the sport of,-0.52734375
549,14162,José Reyes,baseball,-0.27798763,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: José Reyes plays the sport of",Fact: José Reyes plays the sport of,-0.71484375
552,14257,David Freese,baseball,-0.19576046,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: David Freese plays the sport of",Fact: David Freese plays the sport of,-0.62109375
556,450,Cam Newton,football,-0.065155745,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Cam Newton plays the sport of",Fact: Cam Newton plays the sport of,-0.400390625
559,16178,Jonathan Schoop,baseball,-0.6841408,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Jonathan Schoop plays the sport of",Fact: Jonathan Schoop plays the sport of,-0.390625
560,14910,Frank Thomas,baseball,-0.16648124,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Frank Thomas plays the sport of",Fact: Frank Thomas plays the sport of,-0.248046875
561,14497,Brian McCann,baseball,-0.1367524,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Brian McCann plays the sport of",Fact: Brian McCann plays the sport of,-0.4609375
563,6895,Jeff Teague,basketball,-0.16225365,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jeff Teague plays the sport of",Fact: Jeff Teague plays the sport of,-0.294921875
564,10924,Anthony Bennett,basketball,-0.064762734,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Anthony Bennett plays the sport of",Fact: Anthony Bennett plays the sport of,-0.27734375
565,15049,Josh Hamilton,baseball,-0.07275276,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Hamilton plays the sport of",Fact: Josh Hamilton plays the sport of,-0.2109375
568,806,Michael Irvin,football,-0.094774485,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Irvin plays the sport of",Fact: Michael Irvin plays the sport of,-0.72265625
569,16721,Michael Fulmer,baseball,-0.076361544,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Fulmer plays the sport of",Fact: Michael Fulmer plays the sport of,-0.369140625
577,15981,David Wells,baseball,-0.26356137,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: David Wells plays the sport of",Fact: David Wells plays the sport of,-1.2890625
584,1813,Nathan Peterman,football,-0.31140757,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Nathan Peterman plays the sport of",Fact: Nathan Peterman plays the sport of,-0.341796875
585,5336,Chris Bosh,basketball,-0.04584757,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Bosh plays the sport of",Fact: Chris Bosh plays the sport of,-0.37890625
587,6242,George Gervin,basketball,-0.13552988,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: George Gervin plays the sport of",Fact: George Gervin plays the sport of,-0.2294921875
594,6629,Chris Paul,basketball,-0.040700067,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Paul plays the sport of",Fact: Chris Paul plays the sport of,-0.259765625
597,8250,John Henson,basketball,-0.14051442,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: John Henson plays the sport of",Fact: John Henson plays the sport of,-0.76171875
599,5803,Jason Terry,basketball,-0.1956141,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jason Terry plays the sport of",Fact: Jason Terry plays the sport of,-0.27734375
606,439,Ed Reed,football,-0.074535325,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ed Reed plays the sport of",Fact: Ed Reed plays the sport of,-0.421875
607,700,Gary Kubiak,football,-0.10470836,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Gary Kubiak plays the sport of",Fact: Gary Kubiak plays the sport of,-0.73828125
613,5799,Josh Smith,basketball,-0.26165476,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Josh Smith plays the sport of",Fact: Josh Smith plays the sport of,-0.6796875
615,6946,Fab Melo,basketball,-0.2359776,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Fab Melo plays the sport of",Fact: Fab Melo plays the sport of,-0.73046875
616,1767,Justin Herbert,football,-0.35876665,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Justin Herbert plays the sport of",Fact: Justin Herbert plays the sport of,-0.70703125
618,15381,Brad Lidge,baseball,-0.1865444,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Brad Lidge plays the sport of",Fact: Brad Lidge plays the sport of,-0.796875
619,17067,Luke Voit,baseball,-0.18299052,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Luke Voit plays the sport of",Fact: Luke Voit plays the sport of,-0.25390625
622,1261,Eric Reid,football,-0.19060719,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Eric Reid plays the sport of",Fact: Eric Reid plays the sport of,-0.248046875
629,500,Antonio Gates,football,-0.14917082,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Antonio Gates plays the sport of",Fact: Antonio Gates plays the sport of,-0.416015625
633,5315,Ray Allen,basketball,-0.04587171,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Ray Allen plays the sport of",Fact: Ray Allen plays the sport of,-0.318359375
635,8,Jason Campbell,football,-0.5917905,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jason Campbell plays the sport of",Fact: Jason Campbell plays the sport of,-0.8828125
639,21,Tony Romo,football,-0.14199352,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Tony Romo plays the sport of",Fact: Tony Romo plays the sport of,-1.03125
640,572,Brandon Marshall,football,-0.41799292,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Brandon Marshall plays the sport of",Fact: Brandon Marshall plays the sport of,-0.390625
647,17017,Alex Verdugo,baseball,-0.110325314,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Alex Verdugo plays the sport of",Fact: Alex Verdugo plays the sport of,-0.54296875
652,14961,Mike Trout,baseball,-0.0129773095,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Trout plays the sport of",Fact: Mike Trout plays the sport of,-0.1455078125
653,15806,Carlos Santana,baseball,-0.5953486,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Carlos Santana plays the sport of",Fact: Carlos Santana plays the sport of,-2.78125
656,15350,Jay Bruce,baseball,-0.09429945,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Jay Bruce plays the sport of",Fact: Jay Bruce plays the sport of,-0.30078125
657,15985,Daniel Murphy,baseball,-0.15097058,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Daniel Murphy plays the sport of",Fact: Daniel Murphy plays the sport of,-0.58984375
659,872,Charles Woodson,football,-0.06517528,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Charles Woodson plays the sport of",Fact: Charles Woodson plays the sport of,-0.7890625
660,1378,Mike Zimmer,football,-0.20410523,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Zimmer plays the sport of",Fact: Mike Zimmer plays the sport of,-1.2109375
661,890,Michael Oher,football,-0.058230497,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Oher plays the sport of",Fact: Michael Oher plays the sport of,-0.3359375
663,7202,Bill Self,basketball,-0.42459252,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Bill Self plays the sport of",Fact: Bill Self plays the sport of,-0.65625
666,1744,Jamal Adams,football,-0.20321172,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jamal Adams plays the sport of",Fact: Jamal Adams plays the sport of,-0.83203125
667,5260,Paul Pierce,basketball,-0.025675086,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Paul Pierce plays the sport of",Fact: Paul Pierce plays the sport of,-0.306640625
668,14720,Cliff Lee,baseball,-0.040682446,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Cliff Lee plays the sport of",Fact: Cliff Lee plays the sport of,-0.5859375
674,6649,Terrence Jones,basketball,-0.19568586,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Terrence Jones plays the sport of",Fact: Terrence Jones plays the sport of,-0.451171875
675,14992,Torii Hunter,baseball,-0.2566087,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Torii Hunter plays the sport of",Fact: Torii Hunter plays the sport of,-0.2041015625
677,6231,Eric Gordon,basketball,-0.08562834,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Eric Gordon plays the sport of",Fact: Eric Gordon plays the sport of,-0.341796875
679,1170,Anthony Barr,football,-0.33021164,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Anthony Barr plays the sport of",Fact: Anthony Barr plays the sport of,-1.0
681,77,Charles Tillman,football,-0.3329389,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Charles Tillman plays the sport of",Fact: Charles Tillman plays the sport of,-0.330078125
684,7105,Jordan Hill,basketball,-0.49877316,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jordan Hill plays the sport of",Fact: Jordan Hill plays the sport of,-1.0
685,1669,Leonard Floyd,football,-0.37160346,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Leonard Floyd plays the sport of",Fact: Leonard Floyd plays the sport of,-0.52734375
688,234,Russell Wilson,football,-0.08271005,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Russell Wilson plays the sport of",Fact: Russell Wilson plays the sport of,-0.70703125
689,15735,Chris Sale,baseball,-0.041448668,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Sale plays the sport of",Fact: Chris Sale plays the sport of,-0.3359375
700,1020,Ryan Grant,football,-0.66732866,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ryan Grant plays the sport of",Fact: Ryan Grant plays the sport of,-1.046875
701,5429,Vince Carter,basketball,-0.09079946,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Vince Carter plays the sport of",Fact: Vince Carter plays the sport of,-0.1982421875
703,24,Ray Lewis,football,-0.09981946,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ray Lewis plays the sport of",Fact: Ray Lewis plays the sport of,-0.216796875
704,862,Ronnie Brown,football,-0.65078044,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ronnie Brown plays the sport of",Fact: Ronnie Brown plays the sport of,-0.51953125
705,13263,Trae Young,basketball,-0.11223605,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Trae Young plays the sport of",Fact: Trae Young plays the sport of,-0.138671875
711,14716,Alfonso Soriano,baseball,-0.055560037,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Alfonso Soriano plays the sport of",Fact: Alfonso Soriano plays the sport of,-0.625
712,87,Trent Green,football,-0.31050166,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Trent Green plays the sport of",Fact: Trent Green plays the sport of,-1.859375
715,6183,Tristan Thompson,basketball,-0.34391156,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Tristan Thompson plays the sport of",Fact: Tristan Thompson plays the sport of,-0.2421875
718,6041,Nick Young,basketball,-0.34611768,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Young plays the sport of",Fact: Nick Young plays the sport of,-0.40625
719,5875,Kevin Love,basketball,-0.11331389,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Kevin Love plays the sport of",Fact: Kevin Love plays the sport of,-0.30078125
723,690,Dennis Pitta,football,-0.42574346,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Dennis Pitta plays the sport of",Fact: Dennis Pitta plays the sport of,-0.91015625
726,1815,Jordan Howard,football,-0.64898384,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jordan Howard plays the sport of",Fact: Jordan Howard plays the sport of,-0.5625
727,153,Reggie Wayne,football,-0.08084967,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Reggie Wayne plays the sport of",Fact: Reggie Wayne plays the sport of,-1.3671875
728,298,Frank Gore,football,-0.18176979,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Frank Gore plays the sport of",Fact: Frank Gore plays the sport of,-0.158203125
735,16938,Roberto Osuna,baseball,-0.21963857,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Roberto Osuna plays the sport of",Fact: Roberto Osuna plays the sport of,-0.265625
736,216,Rich Gannon,football,-0.36368188,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Rich Gannon plays the sport of",Fact: Rich Gannon plays the sport of,-0.83984375
741,15005,Mike Olt,baseball,-0.4933575,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Olt plays the sport of",Fact: Mike Olt plays the sport of,-0.3515625
747,1657,Dalvin Cook,football,-0.1279948,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Dalvin Cook plays the sport of",Fact: Dalvin Cook plays the sport of,-0.216796875
749,5313,Tim Duncan,basketball,-0.038187493,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Tim Duncan plays the sport of",Fact: Tim Duncan plays the sport of,-0.2890625
751,14482,Chris Davis,baseball,-0.08486852,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Davis plays the sport of",Fact: Chris Davis plays the sport of,-0.32421875
755,191,Andrew Luck,football,-0.08219609,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Andrew Luck plays the sport of",Fact: Andrew Luck plays the sport of,-0.470703125
757,252,Greg Jennings,football,-0.3666394,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Greg Jennings plays the sport of",Fact: Greg Jennings plays the sport of,-0.51953125
760,501,Greg Hardy,football,-0.218363,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Greg Hardy plays the sport of",Fact: Greg Hardy plays the sport of,-0.70703125
761,772,Jimmy Graham,football,-0.05401631,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jimmy Graham plays the sport of",Fact: Jimmy Graham plays the sport of,-0.41015625
762,5885,Andrew Bogut,basketball,-0.06433694,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Andrew Bogut plays the sport of",Fact: Andrew Bogut plays the sport of,-0.306640625
766,15976,Doug Fister,baseball,-0.36544827,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Doug Fister plays the sport of",Fact: Doug Fister plays the sport of,-0.48046875
767,462,Kevin Faulk,football,-0.0937698,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Kevin Faulk plays the sport of",Fact: Kevin Faulk plays the sport of,-0.984375
768,13651,Jalen Adams,basketball,-0.61741555,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jalen Adams plays the sport of",Fact: Jalen Adams plays the sport of,-0.2890625
770,305,Eric Dickerson,football,-0.5575239,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Eric Dickerson plays the sport of",Fact: Eric Dickerson plays the sport of,-0.8984375
771,15211,Johnny Cueto,baseball,-0.09607556,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Johnny Cueto plays the sport of",Fact: Johnny Cueto plays the sport of,-0.39453125
775,519,Aldon Smith,football,-0.05527154,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Aldon Smith plays the sport of",Fact: Aldon Smith plays the sport of,-0.30078125
777,164,Dan Marino,football,-0.13493173,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Dan Marino plays the sport of",Fact: Dan Marino plays the sport of,-0.67578125
780,210,Tony Dorsett,football,-0.13564135,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Tony Dorsett plays the sport of",Fact: Tony Dorsett plays the sport of,-0.71484375
787,226,Jonathan Vilma,football,-0.11885598,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jonathan Vilma plays the sport of",Fact: Jonathan Vilma plays the sport of,-0.2294921875
788,15675,Ryan Verdugo,baseball,-0.028717129,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Ryan Verdugo plays the sport of",Fact: Ryan Verdugo plays the sport of,-2.609375
790,14571,Adam Eaton,baseball,-0.21437576,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Adam Eaton plays the sport of",Fact: Adam Eaton plays the sport of,-0.8828125
